,start_time,interval,kd_direction,sl_atr,tp_atr,sl_determine,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%
36,1672535048000,15m,Any,3,3,Close,827.06,1398.28,1045.44,-329.72,29,47769.48,17.31%
12,1672535048000,15m,Up,3,3,Close,774.98,636.66,214.85,-146.64,10,15281.53,50.71%
22,1672535048000,15m,Up,5,7,Close,766.54,636.66,2900.35,-384.25,24,36853.69,20.80%
32,1672535048000,15m,Any,2,5,Close,748.02,1398.32,1368.45,-142.14,32,46269.85,16.17%
18,1672535048000,15m,Up,5,3,Close,686.32,636.7,494.32,-244.96,13,22868.08,30.01%
60,1672535048000,15m,Down,3,3,Close,677.93,761.31,260.04,-226.27,12,18493.26,36.66%
24,1672535048000,15m,Any,1,3,Close,672.86,1401.94,559.07,-52.77,22,36037.94,18.67%
38,1672535048000,15m,Any,3,5,Close,658.33,1398.37,1071.35,-329.72,37,60988.14,10.79%
241,1640999048000,1h,Any,1,3,High,640.42,2541.97,1374.34,-416.33,17,46369.77,13.81%
332,1609463048000,15m,Any,5,5,Close,631.98,19922.41,13394.93,-5003.37,95,111056.36,5.69%
56,1672535048000,15m,Down,2,5,Close,613.37,761.34,738.12,-95.69,23,37879.68,16.19%
28,1672535048000,15m,Any,1,7,Close,560.13,1401.99,1400.08,-61.38,24,35125.56,15.95%
98,1672535048000,1h,Any,1,5,Close,513.97,313.96,498.59,-134.79,12,18345.74,28.02%
361,1609463048000,1h,Up,1,3,High,481.43,2327.1,833.03,-269.73,7,10592.45,45.45%
124,1672535048000,1h,Down,1,7,Close,447.56,169.76,419.9,-86.85,11,17784.32,25.17%
70,1672535048000,15m,Down,5,7,Close,433.88,761.43,4956.44,-273.03,53,80544.08,5.39%
54,1672535048000,15m,Down,2,3,Close,419.82,761.44,260.04,-102.24,10,15250.93,27.53%
14,1672535048000,15m,Up,3,5,Close,413.65,636.84,382.57,-150.78,15,23460.0,17.63%
